timestamp,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1757510934330,3.22,382.12,3907.45,9.78,0.008,25.625,10.315,7.501
1757510935334,5.28,382.4,3907.45,9.79,0.008,25.625,10.327,7.51
1757510936337,25.21,382.28,3907.45,9.78,0.008,25.625,10.489,7.619
1757510937341,23.17,382.3,3907.45,9.78,0.008,25.625,10.656,7.734
1757510938344,22.06,382.32,3907.45,9.78,0.008,25.625,10.825,7.849
1757510939347,23.73,382.32,3907.45,9.78,0.008,25.625,10.983,7.955
1757510940350,20.6,382.31,3907.45,9.78,0.008,25.625,11.15,8.067
1757510941353,31.14,385.13,3907.45,9.86,0.008,25.625,11.274,8.155
1757510942356,8.57,385.14,3907.45,9.86,0.008,25.625,11.283,8.16
1757510943359,4.95,385.32,3907.45,9.86,0.008,25.625,11.292,8.164
1757510944361,7.49,385.15,3907.45,9.86,0.008,25.625,11.301,8.169
1757510945364,5.8,379.16,3907.45,9.7,0.008,25.625,11.31,8.175
1757510946366,5.31,379.15,3907.45,9.7,0.008,25.625,11.321,8.182
1757510947369,24.1,381.61,3907.45,9.77,0.008,25.625,11.331,8.188
1757510948371,7.28,381.73,3907.45,9.77,0.008,25.625,11.342,8.194
1757510949374,8.39,381.66,3907.45,9.77,0.008,25.625,11.351,8.199
1757510950377,9.67,381.69,3907.45,9.77,0.008,25.625,11.36,8.204
1757510951380,9.03,381.71,3907.45,9.77,0.008,25.625,11.37,8.21
1757510952382,3.38,381.71,3907.45,9.77,0.008,25.625,11.37,8.21
1757510953384,3.08,381.69,3907.45,9.77,0.008,25.625,11.37,8.211
