timestamp,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1757510859085,0.25,331.4,3911.94,8.47,0.004,25.594,10.07,7.087
1757510860088,15.09,331.42,3911.94,8.47,0.004,25.594,10.183,7.164
1757510861092,25.21,331.46,3911.94,8.47,0.004,25.594,10.346,7.278
1757510862094,21.51,331.62,3911.94,8.48,0.004,25.594,10.515,7.396
1757510863097,22.78,331.45,3911.94,8.47,0.004,25.594,10.685,7.514
1757510864100,20.71,331.45,3911.94,8.47,0.004,25.594,10.851,7.626
1757510865103,21.72,331.45,3911.94,8.47,0.004,25.594,11.033,7.755
1757510866109,22.25,331.48,3911.94,8.47,0.004,25.594,11.189,7.861
1757510867112,20.07,331.47,3911.94,8.47,0.004,25.594,11.36,7.975
1757510868114,22.38,331.46,3911.94,8.47,0.004,25.594,11.523,8.084
1757510869117,22.15,331.47,3911.94,8.47,0.004,25.594,11.692,8.197
1757510870119,20.35,331.47,3911.94,8.47,0.004,25.594,11.876,8.325
1757510871121,19.89,331.49,3911.94,8.47,0.004,25.594,12.039,8.437
1757510872124,4.4,331.48,3911.94,8.47,0.004,25.645,12.044,8.442
1757510873127,5.71,331.47,3911.94,8.47,0.004,25.645,12.044,8.442
1757510874130,2.97,331.47,3911.94,8.47,0.004,25.645,12.044,8.442
1757510875133,2.99,331.47,3911.94,8.47,0.004,25.645,12.044,8.442
1757510876136,4.58,331.51,3911.94,8.47,0.004,25.645,12.046,8.444
1757510877139,2.84,331.5,3911.94,8.47,0.004,25.645,12.046,8.444
1757510878142,5.64,331.5,3911.94,8.47,0.004,25.645,12.047,8.444
1757510879144,2.51,331.5,3911.94,8.47,0.004,25.645,12.047,8.444
