timestamp,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1757509240611,2.8,343.6,3911.94,8.78,6.387,28.164,36.775,26.023
1757509241614,13.47,343.64,3911.94,8.78,6.387,28.164,36.889,26.101
1757509242618,23.82,343.66,3911.94,8.78,6.387,28.164,37.054,26.219
1757509243622,23.47,343.73,3911.94,8.79,6.387,28.164,37.22,26.335
1757509244624,19.55,343.72,3911.94,8.79,6.387,28.164,37.384,26.445
1757509245627,21.41,343.72,3911.94,8.79,6.387,28.164,37.555,26.567
1757509246629,18.95,343.76,3911.94,8.79,6.387,28.164,37.733,26.692
1757509247632,22.13,343.75,3911.94,8.79,6.387,28.164,37.918,26.824
1757509248635,18.59,343.75,3911.94,8.79,6.387,28.164,38.097,26.948
1757509249638,18.5,343.7,3911.94,8.79,6.387,28.164,38.274,27.065
1757509250640,22.48,343.7,3911.94,8.79,6.387,28.164,38.453,27.188
1757509251642,20.68,343.7,3911.94,8.79,6.387,28.164,38.642,27.318
1757509252663,16.18,343.73,3911.94,8.79,6.387,28.242,38.715,27.369
1757509253666,4.5,343.73,3911.94,8.79,6.387,28.242,38.72,27.374
1757509254671,3.21,343.73,3911.94,8.79,6.387,28.242,38.72,27.374
1757509255674,5.16,343.73,3911.94,8.79,6.387,28.242,38.72,27.374
1757509256675,2.75,343.73,3911.94,8.79,6.387,28.242,38.72,27.374
1757509257678,5.66,343.75,3911.94,8.79,6.387,28.242,38.73,27.383
1757509258680,2.29,343.75,3911.94,8.79,6.387,28.242,38.73,27.383
