timestamp,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1757577522372,2.54,337.75,3911.95,8.63,4.652,26.68,21.403,14.93
1757577523374,3.06,337.75,3911.95,8.63,4.652,26.68,21.403,14.93
1757577524377,4.35,337.75,3911.95,8.63,4.652,26.68,21.403,14.93
1757577525380,2.9,337.75,3911.95,8.63,4.652,26.68,21.403,14.93
1757577526383,18.05,337.8,3911.95,8.64,4.652,26.68,21.533,15.02
1757577527386,29.12,337.79,3911.95,8.63,4.652,26.68,21.675,15.12
1757577528389,20.6,337.79,3911.95,8.63,4.652,26.68,21.851,15.244
1757577529391,20.14,337.79,3911.95,8.63,4.652,26.68,22.008,15.354
1757577530395,23.95,337.93,3911.95,8.64,4.652,26.68,22.16,15.456
1757577531397,28.05,338.3,3911.95,8.65,4.652,26.68,22.308,15.564
1757577532400,22.86,338.36,3911.95,8.65,4.652,26.68,22.455,15.663
1757577533402,22.7,338.32,3911.95,8.65,4.652,26.68,22.611,15.769
1757577534405,20.27,338.32,3911.95,8.65,4.652,26.68,22.77,15.878
1757577535414,22.98,338.38,3911.95,8.65,4.652,26.68,22.922,15.978
1757577536417,28.48,333.68,3911.95,8.53,4.652,26.68,23.088,16.094
1757577537424,18.22,333.68,3911.95,8.53,4.652,26.68,23.262,16.21
1757577538425,20.72,333.68,3911.95,8.53,4.652,26.68,23.451,16.344
1757577539429,19.17,333.66,3911.95,8.53,4.652,26.68,23.63,16.466
1757577540432,19.39,333.7,3911.95,8.53,4.652,26.68,23.814,16.595
1757577541438,17.04,333.68,3911.95,8.53,4.652,26.77,23.925,16.672
1757577542440,8.28,333.76,3911.95,8.53,4.652,26.789,23.932,16.678
1757577543442,14.53,333.8,3911.95,8.53,4.652,26.809,23.945,16.69
1757577544447,3.5,333.78,3911.95,8.53,4.652,26.809,23.945,16.69
1757577545450,2.94,333.78,3911.95,8.53,4.652,26.809,23.945,16.69
1757577546453,7.84,333.82,3911.95,8.53,4.652,26.809,23.948,16.692
1757577547455,3.31,333.82,3911.95,8.53,4.652,26.809,23.948,16.692
1757577548458,5.48,333.82,3911.95,8.53,4.652,26.848,23.948,16.692
1757577549461,3.87,333.83,3911.95,8.53,4.652,26.848,23.948,16.692
