step,timestamp
announce_received_service4427b086,2268
announce_received_service5c4d2989,2293
announce_received_service19f27b93,2316
announce_received_service80fd9aa7,2337
announce_received_servicedaf5992e,2362
announce_received_serviced0fe4855,2387
announce_received_service17360753,2409
announce_received_serviced51b0c47,2435
announce_received_servicec52c9dc7,2457
announce_received_service5895fbd9,2476
announce_received_service28c77e96,2494
announce_received_service4b3b3bc2,2526
required_announces_received,2526
bid_offer_sent_service4427b086,2925
bid_offer_sent_service5c4d2989,3148
bid_offer_sent_service19f27b93,3323
bid_offer_sent_service80fd9aa7,3499
bid_offer_sent_servicedaf5992e,3675
bid_offer_sent_serviced0fe4855,3858
bid_offer_sent_service17360753,4044
bid_offer_sent_serviced51b0c47,4240
bid_offer_sent_servicec52c9dc7,4415
bid_offer_sent_service5895fbd9,4564
bid_offer_sent_service28c77e96,4742
bid_offer_sent_service4b3b3bc2,4925
all_bid_offers_sent,4926
winner_received_servicedaf5992e,12083
winner_received_serviced0fe4855,12104
winner_received_service17360753,12126
winner_received_serviced51b0c47,12145
winner_received_servicec52c9dc7,12162
winner_received_service5895fbd9,12181
winner_received_service28c77e96,12198
winner_received_service4b3b3bc2,12217
winner_received_service5c4d2989,12473
winner_received_service80fd9aa7,12492
winner_received_service19f27b93,12511
winner_received_service4427b086,12530
all_winners_received,12530
other_provider_choosen_service4427b086,12550
other_provider_choosen_service5c4d2989,12581
other_provider_choosen_service19f27b93,12632
other_provider_choosen_service80fd9aa7,12669
other_provider_choosen_servicedaf5992e,12702
other_provider_choosen_serviced0fe4855,12725
other_provider_choosen_service17360753,12750
other_provider_choosen_serviced51b0c47,12777
other_provider_choosen_servicec52c9dc7,12806
other_provider_choosen_service5895fbd9,12837
other_provider_choosen_service28c77e96,12866
other_provider_choosen_service4b3b3bc2,12889
no_wins,12889
