timestamp,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1758261857803,2.98,299.97,3907.45,7.68,0.504,24.02,0.749,0.593
1758261858806,10.6,300.23,3907.45,7.68,0.504,24.02,0.756,0.6
1758261859808,11.91,300.39,3907.45,7.69,0.504,24.02,0.762,0.604
1758261860811,4.83,300.4,3907.45,7.69,0.504,24.02,0.764,0.606
1758261861813,3.69,300.46,3907.45,7.69,0.504,24.02,0.767,0.608
1758261862816,4.46,301.73,3907.45,7.72,0.504,24.059,0.769,0.609
1758261863819,17.88,303.64,3907.45,7.77,0.504,24.059,0.771,0.61
1758261864822,9.35,303.73,3907.45,7.77,0.504,24.059,0.782,0.619
1758261865825,5.27,303.73,3907.45,7.77,0.504,24.059,0.787,0.622
1758261866827,7.4,303.87,3907.45,7.78,0.504,24.059,0.791,0.625
1758261867829,6.8,303.84,3907.45,7.78,0.504,24.09,0.795,0.627
1758261868833,9.95,302.7,3907.45,7.75,0.504,24.09,0.8,0.629
1758261869835,11.06,303.36,3907.45,7.76,0.504,24.09,0.807,0.634
1758261870838,5.95,303.41,3907.45,7.76,0.504,24.09,0.813,0.637
1758261871841,5.26,303.42,3907.45,7.77,0.504,24.09,0.817,0.639
1758261872844,5.58,303.39,3907.45,7.76,0.504,24.125,0.821,0.642
1758261873847,10.19,303.41,3907.45,7.76,0.504,24.125,0.827,0.645
1758261874850,8.3,303.46,3907.45,7.77,0.504,24.125,0.832,0.649
1758261875852,9.22,297.2,3907.45,7.61,0.504,24.125,0.832,0.649
