timestamp,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1757706748372,7.08,473.22,5921.34,7.99,0.0,44.145,108.481,78.147
1757706749384,12.03,473.25,5921.34,7.99,0.0,44.145,108.515,78.168
1757706750387,18.87,473.24,5921.34,7.99,0.0,44.145,108.558,78.197
1757706751391,12.42,473.21,5921.34,7.99,0.0,44.172,108.594,78.218
1757706752396,10.96,473.26,5921.34,7.99,0.0,44.172,108.629,78.238
1757706753399,12.05,473.19,5921.34,7.99,0.0,44.172,108.664,78.26
1757706754402,12.51,473.21,5921.34,7.99,0.0,44.172,108.698,78.28
1757706755405,17.37,473.2,5921.34,7.99,0.0,44.172,108.742,78.309
1757706756409,11.34,473.19,5921.34,7.99,0.0,44.199,108.778,78.33
1757706757412,12.83,473.19,5921.34,7.99,0.0,44.199,108.814,78.351
1757706758415,11.07,473.19,5921.34,7.99,0.0,44.199,108.848,78.371
1757706759418,11.71,473.19,5921.34,7.99,0.0,44.199,108.884,78.392
1757706760422,18.03,473.29,5921.34,7.99,0.0,44.199,108.934,78.429
1757706761425,15.1,473.22,5921.34,7.99,0.0,44.246,108.965,78.449
1757706762430,11.04,473.22,5921.34,7.99,0.0,44.246,109.0,78.469
1757706763434,11.06,473.24,5921.34,7.99,0.0,44.246,109.036,78.49
1757706764437,11.17,473.53,5921.34,8.0,0.0,44.246,109.069,78.51
1757706765441,20.82,473.53,5921.34,8.0,0.0,44.246,109.129,78.542
1757706766444,10.9,473.54,5921.34,8.0,0.0,44.246,109.164,78.562
1757706767452,11.69,473.57,5921.34,8.0,0.0,44.273,109.2,78.583
1757706768455,19.02,473.82,5921.34,8.0,0.0,44.273,109.235,78.604
1757706769459,10.62,473.82,5921.34,8.0,0.0,44.273,109.27,78.626
1757706770462,16.63,473.81,5921.34,8.0,0.0,44.273,109.315,78.657
1757706771466,11.05,473.79,5921.34,8.0,0.0,44.273,109.35,78.677
1757706772469,11.17,473.78,5921.34,8.0,0.0,44.301,109.385,78.698
1757706773471,10.51,473.84,5921.34,8.0,0.0,44.301,109.421,78.719
1757706774475,14.33,473.88,5921.34,8.0,0.0,44.301,109.457,78.741
1757706775479,39.79,473.87,5921.34,8.0,0.0,44.301,109.574,78.846
1757706776481,24.55,473.8,5921.34,8.0,0.0,44.301,109.666,78.909
1757706777485,25.53,473.83,5921.34,8.0,0.0,44.332,109.757,78.969
1757706778489,24.15,473.8,5921.34,8.0,0.0,44.332,109.846,79.028
1757706779492,25.49,473.8,5921.34,8.0,0.0,44.332,109.942,79.092
1757706780496,50.3,474.35,5921.34,8.01,0.0,44.332,110.092,79.216
1757706781501,67.55,474.39,5921.34,8.01,0.0,44.332,110.346,79.441
1757706782504,53.77,480.44,5921.34,8.11,0.0,44.52,110.501,79.563
1757706783508,25.3,480.48,5921.34,8.11,0.0,44.52,110.6,79.63
1757706784512,24.3,480.47,5921.34,8.11,0.0,44.52,110.701,79.697
1757706785515,47.45,481.81,5921.34,8.14,0.0,44.52,110.89,79.887
1757706786518,25.44,481.82,5921.34,8.14,0.0,44.52,110.996,79.958
1757706787521,17.48,481.74,5921.34,8.14,0.0,44.832,111.047,79.991
1757706788525,12.24,481.74,5921.34,8.14,0.0,44.832,111.091,80.016
1757706789528,11.46,481.77,5921.34,8.14,0.0,44.832,111.135,80.043
1757706790534,30.31,482.11,5921.34,8.14,0.0,44.832,111.249,80.138
1757706791538,13.37,482.11,5921.34,8.14,0.0,44.832,111.29,80.163
1757706792541,12.43,482.27,5921.34,8.14,0.0,45.039,111.336,80.192
1757706793545,12.89,482.13,5921.34,8.14,0.0,45.039,111.381,80.219
1757706794551,13.4,482.1,5921.34,8.14,0.0,45.039,111.425,80.246
1757706795554,21.8,482.12,5921.34,8.14,0.0,45.039,111.5,80.289
