step,timestamp
announce_received_service1757706451586,3553
announce_received_service1757706451369,3566
announce_received_service1757706451214,3577
announce_received_service1757706451544,3589
announce_received_service1757706451303,3600
announce_received_service1757706451115,3612
announce_received_service1757706451720,3623
announce_received_service1757706451749,3636
announce_received_service1757706451998,3647
announce_received_service1757706451315,3660
announce_received_service1757706451940,3673
announce_received_service1757706451560,3685
announce_received_service1757706451782,3696
announce_received_service1757706451167,3708
announce_received_service1757706451765,3720
announce_received_service1757706598763,148674
required_announces_received,148674
bid_offer_sent_service1757706451586,148868
bid_offer_sent_service1757706451369,149034
bid_offer_sent_service1757706451214,149189
bid_offer_sent_service1757706451544,149390
bid_offer_sent_service1757706451303,149588
bid_offer_sent_service1757706451115,149787
bid_offer_sent_service1757706451720,149967
bid_offer_sent_service1757706451749,150195
bid_offer_sent_service1757706451998,150372
bid_offer_sent_service1757706451315,150554
bid_offer_sent_service1757706451940,150762
bid_offer_sent_service1757706451560,150916
bid_offer_sent_service1757706451782,151122
bid_offer_sent_service1757706451167,151350
bid_offer_sent_service1757706451765,151570
bid_offer_sent_service1757706598763,151792
all_bid_offers_sent,151792
winner_received_service1757706451369,158488
winner_received_service1757706451214,158523
winner_received_service1757706451544,158546
winner_received_service1757706451720,158571
winner_received_service1757706598763,158606
winner_received_service1757706451303,158630
winner_received_service1757706451115,158656
winner_received_service1757706451586,158680
winner_received_service1757706451782,158709
winner_received_service1757706451998,158733
winner_received_service1757706451560,158758
winner_received_service1757706451167,158791
winner_received_service1757706451940,158822
winner_received_service1757706451749,158842
winner_received_service1757706451765,158860
winner_received_service1757706451315,158884
all_winners_received,158884
other_provider_choosen_service1757706451586,158916
other_provider_choosen_service1757706451369,158943
other_provider_choosen_service1757706451214,158973
other_provider_choosen_service1757706451544,158993
other_provider_choosen_service1757706451303,159020
other_provider_choosen_service1757706451115,159054
other_provider_choosen_service1757706451720,159095
other_provider_choosen_service1757706451749,159119
other_provider_choosen_service1757706451998,159147
other_provider_choosen_service1757706451315,159178
other_provider_choosen_service1757706451940,159206
other_provider_choosen_service1757706451560,159233
other_provider_choosen_service1757706451782,159260
other_provider_choosen_service1757706451167,159303
other_provider_choosen_service1757706451765,159344
other_provider_choosen_service1757706598763,159370
no_wins,159370
