step,timestamp
announce_received_service1757706942282,2989
announce_received_service1757706942745,3001
announce_received_service1757706942584,3013
announce_received_service1757706942706,3024
announce_received_service1757706942726,3035
announce_received_service1757706942732,3046
announce_received_service1757706942376,3057
announce_received_service1757706942997,3067
announce_received_service1757706942112,3078
announce_received_service1757706942725,3089
announce_received_service1757706942232,3100
announce_received_service1757706942636,3111
announce_received_service1757706942126,3123
announce_received_service1757706942306,3134
announce_received_service1757706942508,3146
announce_received_service1757707088635,148140
required_announces_received,148140
bid_offer_sent_service1757706942282,148279
bid_offer_sent_service1757706942745,148433
bid_offer_sent_service1757706942584,148640
bid_offer_sent_service1757706942706,148820
bid_offer_sent_service1757706942726,149022
bid_offer_sent_service1757706942732,149226
bid_offer_sent_service1757706942376,149441
bid_offer_sent_service1757706942997,149616
bid_offer_sent_service1757706942112,149795
bid_offer_sent_service1757706942725,149942
bid_offer_sent_service1757706942232,150141
bid_offer_sent_service1757706942636,150260
bid_offer_sent_service1757706942126,150431
bid_offer_sent_service1757706942306,150663
bid_offer_sent_service1757706942508,150826
bid_offer_sent_service1757707088635,151026
all_bid_offers_sent,151027
winner_received_service1757706942725,158265
winner_received_service1757706942584,158287
winner_received_service1757706942745,158307
winner_received_service1757706942726,158333
winner_received_service1757706942732,158354
winner_received_service1757706942282,158373
winner_received_service1757706942376,158409
winner_received_service1757706942706,158428
winner_received_service1757706942636,158454
winner_received_service1757706942112,158485
winner_received_service1757707088635,158508
winner_received_service1757706942232,158543
winner_received_service1757706942306,158562
winner_received_service1757706942508,158591
winner_received_service1757706942126,158610
winner_received_service1757706942997,158647
all_winners_received,158647
other_provider_choosen_service1757706942282,158678
other_provider_choosen_service1757706942745,158708
other_provider_choosen_service1757706942584,158728
other_provider_choosen_service1757706942706,158770
other_provider_choosen_service1757706942726,158803
other_provider_choosen_service1757706942732,158831
other_provider_choosen_service1757706942376,158865
other_provider_choosen_service1757706942997,158907
other_provider_choosen_service1757706942112,158942
other_provider_choosen_service1757706942725,158968
other_provider_choosen_service1757706942232,159001
other_provider_choosen_service1757706942636,159027
other_provider_choosen_service1757706942126,159072
other_provider_choosen_service1757706942306,159093
other_provider_choosen_service1757706942508,159162
other_provider_choosen_service1757707088635,159193
no_wins,159193
