timestamp,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1757761491668,23.15,384.63,5921.34,6.5,0.02,36.719,66.1,79.005
1757761492671,3.18,384.63,5921.34,6.5,0.02,36.719,66.1,79.005
1757761493674,3.82,384.63,5921.34,6.5,0.02,36.754,66.1,79.005
1757761494678,4.23,384.63,5921.34,6.5,0.02,36.754,66.1,79.006
1757761495681,6.97,384.62,5921.34,6.5,0.02,36.754,66.101,79.007
1757761496684,25.55,384.74,5921.34,6.5,0.02,36.754,66.248,79.15
1757761497688,3.68,384.63,5921.34,6.5,0.02,36.754,66.248,79.151
1757761498692,2.91,384.62,5921.34,6.5,0.02,36.754,66.248,79.151
1757761499695,3.16,384.68,5921.34,6.5,0.02,36.754,66.248,79.152
1757761500697,7.96,384.62,5921.34,6.5,0.02,36.754,66.248,79.152
1757761501700,22.85,384.68,5921.34,6.5,0.02,36.754,66.392,79.339
1757761502703,3.2,384.64,5921.34,6.5,0.02,36.754,66.392,79.339
1757761503708,4.49,384.64,5921.34,6.5,0.02,36.754,66.392,79.34
1757761504711,3.85,384.64,5921.34,6.5,0.02,36.809,66.392,79.34
1757761505713,13.0,384.19,5921.34,6.49,0.02,36.809,66.392,79.341
1757761506716,27.53,384.22,5921.34,6.49,0.02,36.809,66.553,79.539
1757761507718,3.07,384.09,5921.34,6.49,0.02,36.809,66.553,79.539
1757761508721,3.01,384.1,5921.34,6.49,0.02,36.809,66.553,79.539
1757761509724,3.31,384.09,5921.34,6.49,0.02,36.809,66.553,79.541
1757761510728,3.3,384.09,5921.34,6.49,0.02,36.809,66.554,79.542
1757761511730,29.73,384.13,5921.34,6.49,0.02,36.809,66.7,79.693
1757761512733,3.6,384.11,5921.34,6.49,0.02,36.809,66.7,79.693
1757761513735,3.59,384.11,5921.34,6.49,0.02,36.809,66.7,79.693
1757761514738,3.39,384.13,5921.34,6.49,0.02,36.809,66.701,79.694
1757761515740,2.86,384.11,5921.34,6.49,0.02,36.809,66.701,79.694
1757761516746,50.83,384.04,5921.34,6.49,0.02,36.809,66.871,79.911
1757761517748,17.6,384.0,5921.34,6.49,0.02,36.809,66.92,79.963
1757761518751,4.39,383.95,5921.34,6.48,0.02,36.809,66.923,79.966
1757761519754,4.04,384.12,5921.34,6.49,0.02,36.809,66.925,79.968
1757761520757,3.93,383.95,5921.34,6.48,0.02,36.809,66.928,79.971
1757761521760,50.72,385.11,5921.34,6.5,0.02,36.809,67.197,80.248
1757761522763,48.21,385.15,5921.34,6.5,0.02,36.809,67.366,80.419
1757761523767,21.74,385.07,5921.34,6.5,0.02,36.809,67.456,80.511
1757761524770,3.52,385.06,5921.34,6.5,0.02,36.809,67.458,80.514
1757761525773,4.83,384.99,5921.34,6.5,0.02,36.809,67.461,80.516
1757761526777,83.31,390.55,5921.34,6.6,0.02,36.809,67.852,80.936
1757761527780,21.56,390.64,5921.34,6.6,0.02,36.809,67.94,81.0
1757761528783,6.32,390.47,5921.34,6.59,0.02,36.809,67.952,81.011
1757761529786,4.6,390.47,5921.34,6.59,0.02,36.809,67.958,81.016
1757761530790,12.31,395.93,5921.34,6.69,0.02,36.809,67.963,81.018
1757761531793,64.22,407.5,5921.34,6.88,0.02,36.809,68.208,81.275
1757761532796,8.32,407.51,5921.34,6.88,0.02,36.809,68.212,81.278
1757761533801,7.6,407.61,5921.34,6.88,0.02,36.809,68.221,81.286
1757761534803,5.57,407.54,5921.34,6.88,0.02,36.824,68.226,81.289
1757761535806,5.0,407.58,5921.34,6.88,0.02,36.824,68.231,81.292
1757761536809,37.52,407.34,5921.34,6.88,0.02,36.824,68.417,81.504
1757761537812,4.77,407.34,5921.34,6.88,0.02,36.824,68.422,81.507
1757761538817,11.59,407.35,5921.34,6.88,0.02,36.824,68.43,81.513
1757761539819,4.84,407.39,5921.34,6.88,0.02,36.824,68.435,81.517
1757761540822,5.12,407.72,5921.34,6.89,0.02,37.781,68.441,81.525
1757761541825,30.7,407.42,5921.34,6.88,0.02,37.781,68.615,81.738
1757761542828,4.09,407.39,5921.34,6.88,0.02,37.781,68.619,81.74
1757761543832,5.41,407.37,5921.34,6.88,0.02,37.781,68.628,81.747
1757761544835,6.03,407.41,5921.34,6.88,0.02,37.781,68.633,81.751
1757761545838,6.24,407.37,5921.34,6.88,0.02,37.781,68.642,81.758
1757761546840,62.81,405.77,5921.34,6.85,0.02,37.781,68.813,81.967
1757761547846,14.56,405.78,5921.34,6.85,0.02,37.781,68.822,81.974
1757761548849,4.9,405.78,5921.34,6.85,0.02,37.781,68.828,81.978
1757761549851,5.06,405.91,5921.34,6.86,0.02,37.781,68.836,81.985
1757761550854,4.41,405.79,5921.34,6.85,0.02,37.781,68.841,81.989
1757761551858,31.29,405.82,5921.34,6.85,0.02,37.781,69.014,82.202
1757761552860,5.32,405.82,5921.34,6.85,0.02,37.781,69.019,82.207
1757761553864,4.67,405.82,5921.34,6.85,0.02,37.781,69.028,82.213
1757761554867,4.98,405.82,5921.34,6.85,0.02,37.781,69.033,82.218
1757761555870,5.02,405.88,5921.34,6.85,0.02,37.781,69.042,82.225
1757761556873,33.09,405.92,5921.34,6.86,0.02,37.781,69.223,82.441
1757761557878,3.35,405.92,5921.34,6.86,0.02,37.781,69.223,82.441
1757761558881,4.55,405.86,5921.34,6.85,0.02,37.781,69.227,82.445
1757761559885,4.13,406.05,5921.34,6.86,0.02,37.781,69.232,82.451
1757761560888,3.38,405.86,5921.34,6.85,0.02,37.781,69.232,82.451
1757761561891,27.65,405.94,5921.34,6.86,0.02,37.781,69.402,82.661
1757761562895,7.05,406.06,5921.34,6.86,0.02,37.781,69.407,82.665
1757761563898,3.76,405.89,5921.34,6.85,0.02,37.781,69.407,82.666
