step,timestamp
service_announced,0
admission_resp_provider_1,22
admission_resp_provider_2,55
admission_resp_provider_3,68
admission_resp_provider_4,85
admission_resp_provider_5,108
admission_resp_provider_6,130
required_offers_received,130
provider_chosen,130
deploy_request_sent,130
confirm_deployment_received,1756
establish_vxlan_connection_with_provider_start,1757
establish_vxlan_connection_with_provider_finished,2018
connection_test_success,3579
service_id,serviceb22bbc8f
provider_id,provider_6
